date,year,month,age,age_group,gender,race,threat_level,flee,armed,armed_status,manner_of_death,signs_of_mental_illness,body_camera,state,city
2015-01-02,2015,1,53.0,46-55,M,A,attack,Not fleeing,gun,Armed,shot,True,False,WA,Shelton
2015-01-02,2015,1,47.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,False,False,OR,Aloha
2015-01-03,2015,1,23.0,18-25,M,H,other,Not fleeing,unarmed,Unarmed/Unknown,shot and Tasered,False,False,KS,Wichita
2015-01-04,2015,1,32.0,26-35,M,W,attack,Not fleeing,toy weapon,Armed,shot,True,False,CA,San Francisco
2015-01-04,2015,1,39.0,36-45,M,H,attack,Not fleeing,nail gun,Armed,shot,False,False,CO,Evans
2015-01-04,2015,1,18.0,18-25,M,W,attack,Not fleeing,gun,Armed,shot,False,False,OK,Guthrie
2015-01-05,2015,1,22.0,18-25,M,H,attack,Car,gun,Armed,shot,False,False,AZ,Chandler
2015-01-06,2015,1,35.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,KS,Assaria
2015-01-06,2015,1,34.0,26-35,F,W,other,Not fleeing,unarmed,Unarmed/Unknown,shot,False,True,IA,Burlington
2015-01-06,2015,1,47.0,46-55,M,B,attack,Not fleeing,toy weapon,Armed,shot,False,False,PA,Knoxville
2015-01-06,2015,1,25.0,18-25,M,W,attack,Not fleeing,knife,Armed,shot and Tasered,False,False,CA,Stockton
2015-01-07,2015,1,31.0,26-35,M,B,attack,Not fleeing,gun,Armed,shot,False,False,TX,Freeport
2015-01-07,2015,1,41.0,36-45,M,B,other,Not fleeing,knife,Armed,shot,True,False,OH,Columbus
2015-01-07,2015,1,30.0,26-35,M,W,attack,Car,gun,Armed,shot,False,False,IA,Des Moines
2015-01-07,2015,1,37.0,36-45,M,B,attack,Foot,gun,Armed,shot,False,True,LA,New Orleans
2015-01-08,2015,1,28.0,26-35,M,W,undetermined,Not fleeing,vehicle,Armed,shot,False,False,MT,Huntley
2015-01-08,2015,1,42.0,36-45,M,W,attack,Not fleeing,shovel,Armed,shot,False,True,UT,Salt Lake City
2015-01-08,2015,1,36.0,36-45,M,B,attack,Not fleeing,unarmed,Unarmed/Unknown,shot,False,False,AR,Strong
2015-01-08,2015,1,49.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,False,True,UT,Syracuse
2015-01-09,2015,1,71.0,66+,M,W,attack,Not fleeing,gun,Armed,shot,False,False,AR,England
2015-01-09,2015,1,33.0,26-35,M,H,attack,Not fleeing,gun,Armed,shot,False,False,TX,El Paso
2015-01-11,2015,1,39.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,True,False,IL,Arcola
2015-01-11,2015,1,23.0,18-25,M,H,attack,Not fleeing,gun,Armed,shot,False,False,CA,South Gate
2015-01-11,2015,1,29.0,26-35,M,H,attack,Foot,gun,Armed,shot and Tasered,False,False,NV,North Las Vegas
2015-01-13,2015,1,34.0,26-35,M,W,attack,Foot,gun,Armed,shot,False,True,NM,Albuquerque
2015-01-13,2015,1,43.0,36-45,M,W,other,Not fleeing,knife,Armed,shot,True,False,TX,Jourdanton
2015-01-14,2015,1,24.0,18-25,M,B,attack,Not fleeing,vehicle,Armed,shot,False,False,MN,St. Paul
2015-01-14,2015,1,29.0,26-35,M,W,attack,Not fleeing,vehicle,Armed,shot,False,False,MO,Franklin County
2015-01-14,2015,1,34.0,26-35,M,B,attack,Not fleeing,gun,Armed,shot,True,False,VA,Chesapeake
2015-01-14,2015,1,75.0,66+,M,W,attack,Not fleeing,knife,Armed,shot,False,False,NJ,Old Bridge
2015-01-14,2015,1,68.0,66+,M,W,attack,Not fleeing,gun,Armed,shot,False,False,TX,Lake Jackson
2015-01-14,2015,1,34.0,26-35,M,W,attack,Not fleeing,knife,Armed,shot,False,True,UT,Draper
2015-01-15,2015,1,27.0,26-35,M,B,attack,Foot,gun,Armed,shot,False,False,IN,Indianapolis
2015-01-15,2015,1,39.0,36-45,M,B,attack,Not fleeing,gun,Armed,shot,False,False,CO,Aurora
2015-01-15,2015,1,24.0,18-25,M,W,attack,Not fleeing,gun,Armed,shot,True,False,MN,Bloomington
2015-01-15,2015,1,36.0,36-45,M,H,other,Not fleeing,knife,Armed,shot,True,False,CA,Fairfield
2015-01-15,2015,1,33.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,LA,Evangeline Parish
2015-01-16,2015,1,41.0,36-45,M,W,attack,Car,gun,Armed,shot,False,False,TX,Mabank
2015-01-16,2015,1,48.0,46-55,M,O,other,Not fleeing,knife,Armed,shot and Tasered,False,False,CA,Fremont
2015-01-17,2015,1,21.0,18-25,M,B,attack,Foot,gun,Armed,shot,False,True,OK,Muskogee
2015-01-17,2015,1,24.0,18-25,M,H,attack,Not fleeing,gun,Armed,shot,False,False,CA,Los Angeles
2015-01-17,2015,1,27.0,26-35,M,H,attack,Not fleeing,knife,Armed,shot,False,False,TX,Fort Worth
2015-01-18,2015,1,32.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,True,False,AZ,Maricopa
2015-01-18,2015,1,67.0,66+,M,W,attack,Not fleeing,gun,Armed,shot and Tasered,True,False,KY,Gunlock
2015-01-19,2015,1,49.0,46-55,M,W,attack,Not fleeing,knife,Armed,shot,False,False,MA,Weymouth
2015-01-20,2015,1,42.0,36-45,M,B,other,Car,vehicle,Armed,shot,False,False,AZ,Scottsdale
2015-01-21,2015,1,36.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,False,False,CA,Hemet
2015-01-21,2015,1,36.0,36-45,M,H,attack,Foot,gun,Armed,shot,False,False,TX,Chapeno
2015-01-21,2015,1,19.0,18-25,M,B,attack,Not fleeing,gun,Armed,shot,False,False,MO,St. Louis
2015-01-21,2015,1,54.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,True,False,NH,Derry
2015-01-22,2015,1,25.0,18-25,M,B,attack,Car,toy weapon,Armed,shot,False,False,TX,Sierra Blanca
2015-01-22,2015,1,17.0,<18,F,W,other,Not fleeing,knife,Armed,shot and Tasered,True,False,TX,Longview
2015-01-23,2015,1,61.0,56-65,M,W,attack,Not fleeing,gun,Armed,shot,True,False,TX,Austin
2015-01-23,2015,1,29.0,26-35,M,B,other,Not fleeing,vehicle,Armed,shot,False,False,FL,Fort Lauderdale
2015-01-23,2015,1,56.0,56-65,M,H,other,Not fleeing,knife,Armed,shot,False,False,TX,Levelland
2015-01-24,2015,1,40.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,False,False,TX,Fort Worth
2015-01-24,2015,1,45.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,False,False,ID,Rexburg
2015-01-24,2015,1,26.0,26-35,M,B,other,Not fleeing,knife,Armed,shot,True,False,MD,Baltimore
2015-01-25,2015,1,26.0,26-35,M,H,attack,Car,gun,Armed,shot,False,False,CO,Pueblo
2015-01-25,2015,1,59.0,56-65,M,,attack,Not fleeing,gun,Armed,shot,False,False,NJ,Winslow
2015-01-26,2015,1,17.0,<18,F,H,other,Not fleeing,vehicle,Armed,shot,False,False,CO,Denver
2015-01-26,2015,1,68.0,66+,M,W,attack,Not fleeing,gun,Armed,shot,True,False,MN,New Hope
2015-01-26,2015,1,24.0,18-25,M,H,other,Car,unarmed,Unarmed/Unknown,shot,False,False,TX,Tahoka
2015-01-26,2015,1,34.0,26-35,M,H,other,Not fleeing,knife,Armed,shot,True,False,CA,Wasco
2015-01-27,2015,1,26.0,26-35,M,N,other,Not fleeing,vehicle,Armed,shot,False,False,AZ,Phoenix
