year,month,fatalities,date
2015,1,76,2015-01-01
2015,2,77,2015-02-01
2015,3,92,2015-03-01
2015,4,84,2015-04-01
2015,5,71,2015-05-01
2015,6,65,2015-06-01
2015,7,104,2015-07-01
2015,8,94,2015-08-01
2015,9,82,2015-09-01
2015,10,81,2015-10-01
2015,11,76,2015-11-01
2015,12,89,2015-12-01
2016,1,81,2016-01-01
2016,2,86,2016-02-01
2016,3,92,2016-03-01
2016,4,73,2016-04-01
2016,5,74,2016-05-01
2016,6,92,2016-06-01
2016,7,72,2016-07-01
2016,8,82,2016-08-01
2016,9,78,2016-09-01
2016,10,77,2016-10-01
2016,11,78,2016-11-01
2016,12,78,2016-12-01
2017,1,92,2017-01-01
2017,2,100,2017-02-01
2017,3,76,2017-03-01
2017,4,67,2017-04-01
2017,5,74,2017-05-01
2017,6,84,2017-06-01
2017,7,88,2017-07-01
